codigo,pib_0,pib_1,pib_2,pib_3,pib_4,pib_5,pib_6,pib_7,pib_8,pib_9,pib_10,pib_11,pib_12,pib_13,pib_14,pib_15,pib_16
1300508,219595.229,200194.695,210559.326,196999.207,158178.811,136698.224,117982.694,101313.597,92479.427,98015.759,83280.2,65510.296,59800.365,53838.469,50897.62,34921.134,33386.686
1300607,266870.286,245146.54,270635.483,236930.567,182717.525,170815.905,137141.139,116824.659,107566.038,109838.785,102220.852,77286.296,78147.818,73412.116,67707.34,40403.658,37587.667
1300631,121837.265,125637.296,120987.944,107968.377,88501.664,88594.433,74007.77,78564.906,50867.953,46958.23,42710.747,33853.263,33714.868,28654.954,26200.192,18365.175,17892.203
1300680,110091.826,101807.189,98383.973,100000.981,82356.936,69952.786,55075.769,53788.714,47701.609,48296.721,44202.645,35867.806,26002.399,23826.239,23752.253,15651.679,16220.815
1300706,308464.577,286359.856,277842.079,236628.755,209051.504,189565.439,151888.738,149812.03,155600.427,166068.377,168349.988,147567.75,105759.011,110233.091,92562.821,57025.038,47937.5
1300805,265442.755,260751.816,254923.221,236239.074,212495.978,212850.945,156531.951,120069.944,107848.759,101098.169,98305.851,77219.725,69404.463,63737.053,55821.135,49236.751,38443.413
1300839,145493.233,135540.959,130603.843,111290.908,94804.969,91813.965,66860.598,45997.738,42555.275,45329.33,39168.586,31105.532,22414.687,19938.473,18538.105,13413.093,12747.233
1300904,97249.819,88114.284,88213.136,81426.668,70360.612,64004.503,49393.637,49905.213,45875.095,57487.667,41938.137,27714.247,29380.338,27020.445,26974.118,18681.527,17359.017
1301001,263441.167,251053.932,235645.72,214485.743,161914.106,169944.634,129697.447,121003.225,116294.567,93076.19,88524.397,71172.742,60771.599,57529.822,61216.117,43222.417,38145.395
1301100,241608.195,247024.513,217517.014,193801.612,171484.704,164045.444,143726.596,117780.296,109223.403,124156.398,106793.321,84054.683,86168.527,105944.035,102812.777,58442.374,40744.796
1301159,295105.277,269183.37,241430.571,234401.29,202957.745,240114.068,188022.504,112157.678,100435.647,104493.549,97323.763,70112.507,59383.317,57370.517,54185.49,37531.087,32951.984
1301209,1134798.493,2261616.854,3105210.64,4558711.955,4207960.7,3284129.859,1998793.445,1103216.312,1538300.024,1113359.83,1222446.245,938590.98,730479.657,594341.875,512614.685,390349.53,385619.542
1301308,648089.57,742360.058,651855.363,492322.372,446417.446,484044.296,120603.174,84324.443,87020.966,66368.734,60450.538,47629.147,46081.648,40973.884,37632.927,29638.633,24958.341
1301407,391605.626,403200.198,382850.152,340331.703,282974.578,196566.173,151776.997,123079.285,114888.889,96128.091,90423.898,68386.928,59330.503,54477.331,67438.877,68985.715,49902.147
1301506,142593.873,129131.372,124879.91,116857.371,113710.039,87440.189,71690.248,69890.325,67657.265,51710.487,48978.36,37724.341,37685.628,41342.83,34191.677,26753.506,25246.162
1301605,149829.338,156442.077,151621.066,132637.337,122127.05,116022.922,95661.969,115895.585,122271.819,105025.856,110366.996,106013.078,108718.137,116342.08,111969.606,64452.03,49415.199
1301654,109928.365,106588.173,100262.381,92709.309,77468.287,63044.062,51645.72,63797.746,65179.749,49957.23,44522.42,35972.702,41015.723,39148.977,38231.395,22992.229,21957.848
1301704,493743.748,450581.826,422860.825,367180.651,307585.436,288714.668,217550.061,225791.442,184636.242,147139.087,140162.978,108975.242,81834.961,76681.287,72662.672,53683.679,53358.355
1301803,125078.208,120605.214,112260.226,106738.401,84610.153,76808.244,69653.712,85507.637,82884.541,57873.943,68665.904,44136.961,39188.161,36065.874,34433.062,22674.449,20680.844
1301852,636014.04,627692.749,529533.374,481445.757,382668.59,382724.183,306445.629,188131.82,166619.303,157341.977,139260.875,112688.81,98123.202,91351.068,78804.866,60810.45,61388.117
1301902,2054829.56,1762124.647,1591039.623,1440639.154,1310792.426,1123369.701,849636.545,920228.108,818949.839,685767.053,536568.207,433516.248,371755.283,216973.048,193261.82,167447.388,158096.822
1301951,84142.536,79329.713,75976.151,73383.503,57651.15,53568.895,42984.727,36913.761,35155.149,35606.244,31677.313,26929.51,28733.518,27734.424,27868.107,17189.322,20335.082
1302009,100553.784,80511.711,80542.192,68872.287,88901.548,97911.218,82028.98,37900.234,35510.122,32286.287,29397.15,21191.192,18672.539,16663.117,15245.744,11037.37,10212.717
1302108,59188.649,60551.332,58162.187,50959.432,45849.191,44743.46,32589.772,25539.652,25082.451,23094.091,25255.264,26722.82,23268.373,20985.847,16988.033,12669.023,11690.583
1302207,88752.923,90422.332,84833.658,84513.098,78581.994,60860.006,48746.683,40122.646,35811.189,34748.239,30513.367,21999.667,19518.727,17797.406,15600.889,11410.164,10346.142
1302306,198020.639,196730.617,182212.424,180234.143,137652.132,112560.961,89745.308,68745.905,62926.047,59159.5,61398.09,55178.065,75524.137,70506.346,67156.165,43107.16,35620.359
1302405,433736.04,390961.048,368575.618,380686.658,318287.64,246870.837,205324.579,394664.616,367686.332,174196.532,139703.425,92330.105,64759.64,65201.104,61827.799,48890.745,43964.028
1302504,1241891.227,1414754.423,1264411.326,1229929.351,853164.94,889481.087,647439.91,398175.162,369341.514,367190.375,333988.186,259915.215,196089.556,178150.441,153462.43,123683.499,127464.859
1302553,249818.3,231558.893,206792.431,182256.859,157439.568,175843.934,124713.917,83034.713,71339.734,65428.435,59371.516,46527.98,34037.765,30895.279,29772.486,22340.322,17638.383
1302603,70296364.352,67076904.141,67418893.742,63829864.296,55551837.614,55528640.113,50168821.175,40482808.667,38028945.028,34384768.221,31801794.737,27517836.061,25466981.16,20597351.238,17777937.178,15196719.329,14094080.338
1302702,477439.434,492407.655,459510.03,400950.068,374854.607,330199.175,251450.327,239145.803,213833.233,135896.223,168611.842,200905.724,106853.035,130432.835,104947.993,67749.968,64282.843
1302801,144220.388,122658.122,117725.443,96880.191,85759.587,82097.811,65053.946,109099.916,97543.512,58050.55,56592.651,45093.046,54415.363,50955.202,52155.426,24319.412,22711.614
1302900,396078.424,380953.52,389379.024,360983.44,297319.479,301986.809,271610.911,227010.757,208243.525,190100.466,179155.531,140455.2,103769.619,92102.311,81066.603,67705.461,62646.698
1303007,133330.876,123218.934,121116.962,128949.704,106711.367,86306.237,69664.386,86487.252,80117.44,90632.563,82100.077,67086.433,42384.962,40378.706,36469.484,27238.963,24201.581
1303106,209842.351,195941.329,187770.356,157882.74,152004.534,169382.955,128636.703,108830.479,96824.332,99526.677,93990.964,74585.054,81207.267,81800.295,76226.565,47920.731,44287.399
1303205,120587.125,117036.947,112456.911,92626.065,77206.686,73077.687,73846.168,61749.11,51450.332,57166.404,35397.196,22924.683,23333.468,21577.843,20699.138,15713.287,14512.272
1303304,167039.903,157336.845,149447.035,140184.673,109590.051,116017.157,78083.916,85713.957,77642.154,70197.382,74275.935,57042.983,79570.569,74352.429,66695.617,37929.989,38842.442
1303403,1024890.414,949019.806,975797.541,1010620.258,811867.125,770401.037,578337.198,460767.743,402194.514,348529.933,352951.454,278770.191,230213.983,212310.763,201003.002,141576.854,144733.322
1303502,140829.727,139060.464,136558.211,108043.901,97519.643,98728.669,76686.166,69639.663,61797.279,61684.955,57512.918,39132.584,43415.845,37159.995,36803.369,28476.345,25637.79
1303536,546209.21,761204.466,662828.101,722104.237,590572.416,559052.384,314535.23,304603.307,275559.947,316120.008,344781.63,314071.325,224036.843,195739.643,142742.801,90459.67,80172.311
1303569,445164.167,444179.586,370897.345,326203.476,318300.067,268715.599,193863.213,216317.688,122935.998,126712.048,118015.08,90724.183,52063.148,47878.719,41548.703,29030.237,27771.339
1303601,128352.824,155312.731,123218.764,104747.696,86264.62,87397.544,65376.313,56971.795,54682.898,46790.454,35136.936,24084.692,29922.878,29992.164,27814.578,20353.512,16578.5
1303700,161022.842,149508.986,146110.467,126286.473,107787.238,98262.363,83501.322,94028.259,85893.642,81855.454,77204.925,66374.39,61929.08,57269.113,53263.029,36627.188,31001.71
1303809,271072.674,265932.031,257234.04,216457.26,187652.125,181581.663,162583.165,202145.626,186358.206,162112.672,148701.435,99189.94,87412.771,76355.232,72025.226,47860.64,44634.898
1303908,205181.593,193791.335,190869.716,172809.954,142978.811,129552.808,108879.053,109403.846,96379.866,93402.855,86893.936,64773.54,70535.797,62730.001,58356.579,39206.843,35240.001
1303957,94782.263,84629.549,84210.182,73866.178,60507.625,55371.921,42612.81,32991.075,29645.318,33006.906,30194.747,20592.394,20278.125,17014.202,16309.551,13861.176,13859.027
1304005,97990.169,105001.34,74698.679,83929.275,62377.755,62113.497,48369.96,66060.827,61006.869,46539.408,43502.888,37923.548,36398.809,35518.021,33798.532,18653.003,18566.707
1304062,414692.109,382963.311,366628.14,327177.033,275456.187,294162.651,237077.849,202777.256,176562.648,159984.199,147281.594,104013.785,88012.627,87394.837,65289.562,60486.887,58135.729
1304104,216816.328,201236.87,189774.761,152594.108,128599.349,142177.798,84359.202,87252.594,81765.837,65388.198,66206.178,51169.745,45881.031,38644.631,40500.467,31001.317,24170.252
1304203,650319.048,710973.156,710995.285,540069.255,558291.207,539753.872,350169.148,293740.908,268935.14,305611.453,285422.217,223771.52,134506.566,129451.924,167746.163,114508.431,117614.474
